Successful: 4728
Failed: 2328
Sent to users:
552. User ID: 539367413, Status: Not delivered
553. User ID: 539881143, Status: Delivered
554. User ID: 539971122, Status: Not delivered
555. User ID: 539998201, Status: Not delivered
556. User ID: 540339219, Status: Not delivered
557. User ID: 541124518, Status: Delivered
558. User ID: 542984283, Status: Delivered
559. User ID: 543101872, Status: Delivered
560. User ID: 543837447, Status: Not delivered
561. User ID: 545216934, Status: Not delivered
562. User ID: 545863159, Status: Delivered
563. User ID: 546471081, Status: Delivered
564. User ID: 547789320, Status: Delivered
565. User ID: 547923325, Status: Delivered
566. User ID: 549303041, Status: Not delivered
567. User ID: 549459138, Status: Not delivered
568. User ID: 549657579, Status: Delivered
569. User ID: 550405575, Status: Not delivered
570. User ID: 552745849, Status: Delivered
571. User ID: 553306918, Status: Not delivered
572. User ID: 554529564, Status: Delivered
573. User ID: 555536356, Status: Not delivered
574. User ID: 555716844, Status: Not delivered
575. User ID: 555994765, Status: Delivered
576. User ID: 557989356, Status: Not delivered
577. User ID: 558958406, Status: Delivered
578. User ID: 558978263, Status: Delivered
579. User ID: 560084505, Status: Not delivered
580. User ID: 560182345, Status: Delivered
581. User ID: 561688020, Status: Delivered
582. User ID: 561933442, Status: Not delivered
583. User ID: 562624568, Status: Delivered
584. User ID: 563237272, Status: Delivered
585. User ID: 564424567, Status: Not delivered
586. User ID: 564773452, Status: Not delivered
587. User ID: 565321717, Status: Delivered
588. User ID: 569033333, Status: Delivered
589. User ID: 569845119, Status: Delivered
590. User ID: 571827258, Status: Delivered
591. User ID: 572125952, Status: Delivered
592. User ID: 574787654, Status: Delivered
593. User ID: 575299127, Status: Delivered
594. User ID: 576161692, Status: Delivered
595. User ID: 576539495, Status: Delivered
596. User ID: 577705572, Status: Not delivered
597. User ID: 577955872, Status: Not delivered
598. User ID: 579168642, Status: Delivered
599. User ID: 579656775, Status: Not delivered
600. User ID: 579948301, Status: Delivered
601. User ID: 580865165, Status: Not delivered
602. User ID: 581326359, Status: Not delivered
603. User ID: 581789111, Status: Delivered
604. User ID: 582895469, Status: Not delivered
605. User ID: 584327806, Status: Not delivered
606. User ID: 586010372, Status: Not delivered
607. User ID: 588923899, Status: Not delivered
608. User ID: 589333023, Status: Delivered
609. User ID: 590907640, Status: Delivered
610. User ID: 590909707, Status: Delivered
611. User ID: 590951674, Status: Delivered
612. User ID: 591133802, Status: Not delivered
613. User ID: 591958380, Status: Not delivered
614. User ID: 592986047, Status: Not delivered
615. User ID: 593268539, Status: Delivered
616. User ID: 593792046, Status: Delivered
617. User ID: 593934363, Status: Delivered
618. User ID: 597771944, Status: Not delivered
619. User ID: 598205893, Status: Delivered
620. User ID: 600492559, Status: Delivered
621. User ID: 601354686, Status: Delivered
622. User ID: 601602506, Status: Not delivered
623. User ID: 602248563, Status: Not delivered
624. User ID: 602458051, Status: Not delivered
625. User ID: 602525688, Status: Delivered
626. User ID: 602795802, Status: Delivered
627. User ID: 603957641, Status: Delivered
628. User ID: 604847449, Status: Not delivered
629. User ID: 605540680, Status: Delivered
630. User ID: 605711774, Status: Delivered
631. User ID: 606728119, Status: Delivered
632. User ID: 607053001, Status: Not delivered
633. User ID: 607939382, Status: Delivered
634. User ID: 608178534, Status: Delivered
635. User ID: 608735976, Status: Delivered
636. User ID: 608736925, Status: Delivered
637. User ID: 609418812, Status: Not delivered
638. User ID: 610557709, Status: Not delivered
639. User ID: 611723830, Status: Delivered
640. User ID: 612780004, Status: Not delivered
641. User ID: 615595980, Status: Not delivered
642. User ID: 616799169, Status: Delivered
643. User ID: 617085779, Status: Delivered
644. User ID: 619472854, Status: Delivered
645. User ID: 621451508, Status: Delivered
646. User ID: 622504408, Status: Delivered
647. User ID: 622851216, Status: Delivered
648. User ID: 625617587, Status: Delivered
649. User ID: 625646651, Status: Not delivered
650. User ID: 625991668, Status: Delivered
651. User ID: 627114408, Status: Not delivered
652. User ID: 627486252, Status: Delivered
653. User ID: 627836587, Status: Not delivered
654. User ID: 628274728, Status: Not delivered
655. User ID: 629291501, Status: Delivered
656. User ID: 629501150, Status: Delivered
657. User ID: 629725109, Status: Delivered
658. User ID: 630504147, Status: Not delivered
659. User ID: 630734742, Status: Not delivered
660. User ID: 631806481, Status: Delivered
661. User ID: 632105571, Status: Delivered
662. User ID: 632512382, Status: Not delivered
663. User ID: 632700807, Status: Not delivered
664. User ID: 632966361, Status: Delivered
665. User ID: 635952955, Status: Delivered
666. User ID: 636148018, Status: Delivered
667. User ID: 637886540, Status: Not delivered
668. User ID: 637891689, Status: Delivered
669. User ID: 638179759, Status: Delivered
670. User ID: 638566709, Status: Delivered
671. User ID: 638974846, Status: Not delivered
672. User ID: 640278494, Status: Delivered
673. User ID: 641351298, Status: Delivered
674. User ID: 642793445, Status: Delivered
675. User ID: 643653813, Status: Not delivered
676. User ID: 644388234, Status: Delivered
677. User ID: 644542667, Status: Delivered
678. User ID: 644925737, Status: Not delivered
679. User ID: 645137001, Status: Delivered
680. User ID: 645860408, Status: Delivered
681. User ID: 645992464, Status: Delivered
682. User ID: 646399346, Status: Delivered
683. User ID: 646481051, Status: Delivered
684. User ID: 646530306, Status: Not delivered
685. User ID: 646533960, Status: Not delivered
686. User ID: 646796736, Status: Not delivered
